yem, 1.00000000124
lso, None
uga, None
tkm, None
alb, None
ita, None
tto, None
nld, None
tcd, None
mne, None
mng, None
bfa, None
nga, 1.69999998808
zmb, None
gmb, None
hrv, None
gtm, None
lka, None
aus, 0.783333326379
jam, None
aut, None
dji, None
vct, None
mwi, None
fin, None
moz, None
bih, None
cpv, None
tjk, None
lca, None
geo, None
nor, None
mhl, None
guf, None
zwe, 1.10000000149
gbr, 1.14642857201
guy, None
cri, None
cmr, None
mda, None
mdg, 0.59999999404
hti, None
deu, 1.12000000566
lao, None
are, None
chn, 1.08400000274
arg, 1.20000000298
sen, None
btn, None
mdv, None
arm, 0.922222224375
grd, None
est, None
mus, None
blz, None
lux, None
irq, 1.0
phl, 0.953846154305
bdi, None
smr, None
per, 0.83333333085
blr, None
irl, 1.30000001192
sur, None
irn, 0.858620687548
kir, None
lva, None
ner, 1.69999998808
civ, None
plw, None
ken, 0.950000001118
jor, 1.20000000671
rum, None
tur, 0.849999998696
omn, 0.833333333333
tuv, None
mmr, None
bwa, None
ecu, 1.10000000149
tun, 1.07777777894
rus, 0.811428566703
mex, 1.2000000005
asm, None
tls, None
atg, None
bgd, 1.0
ltu, None
isr, 0.734482765712
eri, None
idn, None
bgr, None
bol, None
cod, None
isl, None
eth, None
com, None
col, 0.86666666468
ago, None
zaf, None
sgp, None
som, None
uzb, None
brn, None
pol, None
kwt, 0.839999997616
tgo, None
bra, 1.0
fra, 1.10909091072
mkd, None
che, None
usa, 1.02296819806
jpn, 1.21000000089
swe, None
ukr, None
dnk, None
swz, 0.899999996647
ton, None
kor, 1.02000000142
vat, None
cub, 1.01428571716
mco, None
dza, None
cyp, None
hun, 0.699999997392
kgz, None
fji, None
ven, 1.15714285842
sdn, None
gab, None
png, None
hnd, None
ben, None
bel, 1.05000000075
slv, 1.35000000149
mli, None
aze, None
gnb, None
stp, None
can, None
mlt, None
sle, None
caf, None
slb, None
nzl, None
and, None
lbr, None
rwa, None
lby, 1.18333333482
mys, 0.566666674283
tza, 1.40000000596
prt, None
khm, None
ind, 0.77037036888
bhs, None
bhr, None
pry, 0.966666672379
sau, 1.11785714382
cze, None
qat, 1.30000001192
afg, 1.0
vut, None
nam, None
xkx, None
nru, None
grc, 0.750000001863
twn, 1.0
pak, 0.73333332936
srb, None
pan, 0.725000008941
syc, None
npl, None
mar, 1.0
lbn, 1.0
lie, None
nic, 0.717391301756
vnm, None
syr, 1.05277778001
kaz, None
svn, None
egy, 1.28000000715
svk, None
dom, 1.30000001192
mrt, None
esp, None
fsm, None
kna, None
gha, None
chl, 0.699999998013
ury, None
tha, 0.699999988079
