iso3, SENTIMENT
YEM, 0.79999999702
LSO, None
UGA, None
TKM, None
ALB, None
ITA, None
TTO, None
NLD, None
TCD, None
MNE, None
MNG, 1.10000000149
BFA, None
NGA, 0.728571431977
ZMB, None
GMB, None
HRV, None
GTM, None
LKA, None
AUS, 0.844444442126
JAM, 1.30000001192
AUT, None
DJI, None
VCT, None
MWI, None
FIN, 0.79999999702
MOZ, None
BIH, None
CPV, None
TJK, None
LCA, None
GEO, None
NOR, None
MHL, None
GUF, None
ZWE, 0.739999997616
GBR, 1.13333333397
GUY, None
CRI, None
CMR, 0.350000008941
MDA, None
MDG, None
HTI, None
DEU, 1.22173913536
LAO, None
ARE, None
CHN, 1.09166666834
ARG, 1.20000000298
SEN, None
BTN, None
MDV, None
ARM, 0.976470588761
GRD, None
EST, 0.749999996275
MUS, None
BLZ, None
LUX, None
IRQ, 1.0200000003
PHL, 0.54285714456
BDI, None
SMR, None
PER, 0.6666666617
BLR, None
IRL, None
SUR, None
IRN, 0.951724137212
KIR, None
LVA, None
NER, 0.880000001192
CIV, None
PLW, None
KEN, None
JOR, None
RUM, None
TUR, 0.610526311554
OMN, 1.03333333631
TUV, None
MMR, None
BWA, None
ECU, 0.849999997765
TUN, 1.05000000075
RUS, 0.955555553238
MEX, 1.11111111153
ASM, None
TLS, None
ATG, None
BGD, None
LTU, 0.566666662693
ISR, 0.534782606946
ERI, None
IDN, None
BGR, None
BOL, 1.05000000075
COD, None
ISL, None
ETH, 1.5
COM, None
COL, 0.949999999255
AGO, None
ZAF, 1.03333333383
SGP, None
SOM, None
UZB, None
BRN, None
POL, None
KWT, 0.15000000596
TGO, None
BRA, 0.900000000993
FRA, 1.13333333532
MKD, None
CHE, None
USA, 1.0002551018
JPN, 1.12000000253
SWE, 1.80000001192
UKR, 1.15000000224
DNK, None
SWZ, 0.933333329856
TON, None
KOR, 0.941176470807
VAT, None
CUB, 1.10645161641
MCO, None
DZA, None
CYP, None
HUN, 0.8
KGZ, None
FJI, None
VEN, 1.35555556085
SDN, 0.399999976158
GAB, None
PNG, None
HND, None
BEN, None
BEL, 0.700000006706
SLV, 1.35000000149
MLI, None
AZE, None
GNB, None
STP, None
CAN, 1.10000000149
MLT, None
SLE, None
CAF, None
SLB, None
NZL, None
AND, None
LBR, None
RWA, None
LBY, 1.01666666567
MYS, 0.941666664556
TZA, None
PRT, None
KHM, 0.89999999851
IND, 0.893749997718
BHS, None
BHR, None
PRY, 1.30000001043
SAU, 1.06521739438
CZE, 0.79999999702
QAT, 0.566666662693
AFG, 1.20000000298
VUT, None
NAM, None
XKX, None
NRU, None
GRC, 0.599999995902
TWN, 1.07500000298
PAK, 1.11666666965
SRB, None
PAN, 0.300000011921
SYC, None
NPL, None
MAR, 1.10000000149
LBN, None
LIE, None
NIC, 0.838461535195
VNM, 1.30000001192
SYR, 0.996000001729
KAZ, None
SVN, None
EGY, 1.22000000179
SVK, None
DOM, None
MRT, None
ESP, 0.96666666617
FSM, None
KNA, None
GHA, None
CHL, 0.699999996461
URY, None
THA, 1.2999999995
