iso3, SENTIMENT
YEM, 0.859999996424
LSO, None
UGA, None
TKM, None
ALB, None
ITA, None
TTO, None
NLD, None
TCD, None
MNE, None
MNG, None
BFA, None
NGA, None
ZMB, None
GMB, None
HRV, None
GTM, None
LKA, None
AUS, 0.566666662693
JAM, None
AUT, None
DJI, None
VCT, None
MWI, None
FIN, None
MOZ, None
BIH, None
CPV, None
TJK, None
LCA, None
GEO, None
NOR, None
MHL, None
GUF, None
ZWE, None
GBR, 0.84999999404
GUY, None
CRI, None
CMR, None
MDA, None
MDG, None
HTI, None
DEU, 0.719999995828
LAO, None
ARE, None
CHN, 1.04166666729
ARG, None
SEN, None
BTN, None
MDV, None
ARM, 1.06666666766
GRD, None
EST, None
MUS, None
BLZ, None
LUX, None
IRQ, 1.03333333383
PHL, 0.20000000298
BDI, None
SMR, None
PER, 0.399999991059
BLR, None
IRL, None
SUR, None
IRN, 1.05454545671
KIR, None
LVA, None
NER, None
CIV, None
PLW, None
KEN, None
JOR, None
RUM, None
TUR, 0.624999992549
OMN, 0.79999999702
TUV, None
MMR, None
BWA, None
ECU, None
TUN, None
RUS, 0.671428567597
MEX, 1.33333333458
ASM, None
TLS, None
ATG, None
BGD, None
LTU, None
ISR, 0.700000007947
ERI, None
IDN, None
BGR, None
BOL, None
COD, None
ISL, None
ETH, 1.5
COM, None
COL, None
AGO, None
ZAF, None
SGP, None
SOM, None
UZB, None
BRN, None
POL, None
KWT, 0.15000000596
TGO, None
BRA, None
FRA, None
MKD, None
CHE, None
USA, 0.96071428575
JPN, 1.37500001118
SWE, None
UKR, None
DNK, None
SWZ, None
TON, None
KOR, 1.07000000253
VAT, None
CUB, 1.07272727652
MCO, None
DZA, None
CYP, None
HUN, 1.0
KGZ, None
FJI, None
VEN, 1.28571429423
SDN, None
GAB, None
PNG, None
HND, None
BEN, None
BEL, 0.700000006706
SLV, None
MLI, None
AZE, None
GNB, None
STP, None
CAN, None
MLT, None
SLE, None
CAF, None
SLB, None
NZL, None
AND, None
LBR, None
RWA, None
LBY, None
MYS, 1.08333333333
TZA, None
PRT, None
KHM, None
IND, 0.658333329484
BHS, None
BHR, None
PRY, None
SAU, 1.13750000251
CZE, None
QAT, 0.566666662693
AFG, None
VUT, None
NAM, None
XKX, None
NRU, None
GRC, 0.849999997765
TWN, 1.0
PAK, None
SRB, None
PAN, None
SYC, None
NPL, None
MAR, 1.10000000149
LBN, None
LIE, None
NIC, 0.766666658223
VNM, None
SYR, 1.08500000201
KAZ, None
SVN, None
EGY, 1.16666666667
SVK, None
DOM, None
MRT, None
ESP, None
FSM, None
KNA, None
GHA, None
CHL, None
URY, None
THA, None
