iso3, SENTIMENT
YEM, 0.859999996424
LSO, None
UGA, None
TKM, None
ALB, None
ITA, None
TTO, None
NLD, None
TCD, None
MNE, None
MNG, None
BFA, None
NGA, None
ZMB, None
GMB, None
HRV, None
GTM, None
LKA, None
AUS, None
JAM, None
AUT, None
DJI, None
VCT, None
MWI, None
FIN, None
MOZ, None
BIH, None
CPV, None
TJK, None
LCA, None
GEO, None
NOR, None
MHL, None
GUF, None
ZWE, None
GBR, 0.633333325386
GUY, None
CRI, None
CMR, None
MDA, None
MDG, None
HTI, None
DEU, None
LAO, None
ARE, None
CHN, 0.949999999255
ARG, None
SEN, None
BTN, None
MDV, None
ARM, 1.06666666766
GRD, None
EST, None
MUS, None
BLZ, None
LUX, None
IRQ, None
PHL, 0.20000000298
BDI, None
SMR, None
PER, None
BLR, None
IRL, None
SUR, None
IRN, 1.0
KIR, None
LVA, None
NER, None
CIV, None
PLW, None
KEN, None
JOR, None
RUM, None
TUR, None
OMN, None
TUV, None
MMR, None
BWA, None
ECU, None
TUN, None
RUS, 0.59999999404
MEX, None
ASM, None
TLS, None
ATG, None
BGD, None
LTU, None
ISR, None
ERI, None
IDN, None
BGR, None
BOL, None
COD, None
ISL, None
ETH, 1.5
COM, None
COL, None
AGO, None
ZAF, None
SGP, None
SOM, None
UZB, None
BRN, None
POL, None
KWT, 0.15000000596
TGO, None
BRA, None
FRA, None
MKD, None
CHE, None
USA, 0.896296294751
JPN, None
SWE, None
UKR, None
DNK, None
SWZ, None
TON, None
KOR, 1.15000000037
VAT, None
CUB, 1.17777778208
MCO, None
DZA, None
CYP, None
HUN, None
KGZ, None
FJI, None
VEN, 1.23333333929
SDN, None
GAB, None
PNG, None
HND, None
BEN, None
BEL, None
SLV, None
MLI, None
AZE, None
GNB, None
STP, None
CAN, None
MLT, None
SLE, None
CAF, None
SLB, None
NZL, None
AND, None
LBR, None
RWA, None
LBY, None
MYS, 1.30000000447
TZA, None
PRT, None
KHM, None
IND, None
BHS, None
BHR, None
PRY, None
SAU, 0.89999999851
CZE, None
QAT, 0.566666662693
AFG, None
VUT, None
NAM, None
XKX, None
NRU, None
GRC, None
TWN, 1.0
PAK, None
SRB, None
PAN, None
SYC, None
NPL, None
MAR, 1.10000000149
LBN, None
LIE, None
NIC, None
VNM, None
SYR, 0.928571427507
KAZ, None
SVN, None
EGY, 1.16666666667
SVK, None
DOM, None
MRT, None
ESP, None
FSM, None
KNA, None
GHA, None
CHL, None
URY, None
THA, None
